Service

+---------+----------------------------------------------------------------------------+--------------+---------+----------+---------+-------------+--------+------------------------------------+
|ServiceID|Name                                                                        |EstimationCost|LaborCost|Estimation|LaborTime|HasConditions|Obsolete|Uuid                                |
+---------+----------------------------------------------------------------------------+--------------+---------+----------+---------+-------------+--------+------------------------------------+
|1        |Замена воздушного фильтра                                                   |200.00        |1000.00  |12        |0.20000  |true         |0       |604816EA-23D6-4C3C-9DD6-4796D4E2661F|
|2        |Снятие и установка стартера                                                 |1400.00       |2000.00  |42        |0.70000  |true         |0       |61CE5D44-BBE1-4C70-B10A-468AC9D35A4C|
|3        |Замена ремня ГРМ                                                            |5300.00       |1325.00  |240       |4.00000  |true         |0       |6A12256E-BF72-417D-915F-A6464BA0AD27|
|4        |Замена передней левой нижней опоры ДВС                                      |900.00        |2250.00  |24        |0.40000  |true         |0       |8A403208-E354-4077-BAB1-9938BD959ACE|
|5        |Замена передней правой нижней опоры ДВС                                     |800.00        |1600.00  |30        |0.50000  |true         |0       |B52C0AE7-08C7-4885-B5BA-6139A60C3632|
|6        |Замена масла в ДВС                                                          |500.00        |543.48   |55        |0.92000  |true         |0       |A1D01487-24BA-4266-8530-8C555B1E46DB|
|7        |Частичная замена жидкости АКПП                                              |550.00        |1100.00  |30        |0.50000  |true         |0       |93BAB782-EF10-414D-A335-7432677952D4|
|8        |Замена фильтра салона                                                       |400.00        |1600.00  |15        |0.25000  |true         |0       |90E27418-AD36-4E07-A006-7C1FBDC483A8|
|9        |Замена свечей зажигания                                                     |150.00        |750.00   |12        |0.20000  |true         |0       |5638F4A3-1077-49F2-8FA8-730CDC1BCCD9|
|10       |Замена топливного фильтра (подкапотное пространство)                        |600.00        |2400.00  |15        |0.25000  |true         |0       |AB0035E9-05C7-46AD-A195-D0230BD28201|
|11       |Замена ламп подсветки панели приборов                                       |1450.00       |1812.50  |48        |0.80000  |false        |0       |3310A8A9-E0DF-4DF4-A76F-46877AB23C0C|
|12       |Замена жидкости в АКПП (с заменой фильтров)                                 |2800.00       |2000.00  |84        |1.40000  |true         |0       |D9712BB0-DE45-4213-849D-BC03435CF0B3|
|13       |Замена лампы стоп сигнала                                                   |250.00        |1000.00  |15        |0.25000  |true         |0       |42B3CDC3-B4B6-40B7-8361-E332AC7D8F08|
|14       |Замена щётки стеклоочистителя                                               |200.00        |2000.00  |6         |0.10000  |false        |0       |2D54E714-4E3F-4DAD-9638-4555C7403C17|
|15       |Чистка распределителя зажигания                                             |250.00        |1250.00  |12        |0.20000  |false        |0       |B2EF1BCC-1EF7-4E17-9896-CF56AC17B8D1|
|16       |Крепление спойлера переднего бампера                                        |100.00        |400.00   |15        |0.25000  |false        |1       |BCC23BED-2495-4101-9102-DCDE27A446B4|
|17       |Демонтаж-монтаж топливных форсунок                                          |2050.00       |1025.00  |120       |2.00000  |true         |0       |F2F82122-86BC-403D-B09C-71D2C8D57FEA|
|18       |Промывка дроссельного узла (заслонка+клапан)                                |1550.00       |1550.00  |60        |1.00000  |true         |0       |084265CB-5059-48AE-B7EE-705B04C73580|
|19       |Замена лампы габаритного фонаря                                             |250.00        |1250.00  |12        |0.20000  |true         |0       |A76AD0BE-811B-437F-943A-D93EFFABB6F9|
|20       |Замена жидкости в заднем редукторе                                          |700.00        |1400.00  |30        |0.50000  |false        |0       |BC2B8B79-3858-49DF-BB98-D176A4D8E9ED|
|21       |Замена воздушного фильтра(с мойкой короба)                                  |200.00        |600.01   |20        |0.33333  |false        |1       |73A660D1-6D86-4CD6-A335-F752AF289904|
|22       |Замена помпы системы охлаждения                                             |6100.00       |1220.00  |300       |5.00000  |true         |0       |55F57AB8-DD9F-48A0-9E3A-2A21990BA69A|
|23       |Замена тормозного шланга, переднего правого                                 |750.00        |1500.00  |30        |0.50000  |false        |0       |F2536710-1BC7-4C31-B82C-E89FE8652701|
|24       |Замена жидкости ГУР                                                         |650.00        |650.00   |60        |1.00000  |false        |0       |83CBCFD3-74D5-481F-8A80-2A95E6FF3189|
|25       |Замена жидкости в тормозной системе                                         |900.00        |2250.00  |24        |0.40000  |false        |0       |D8088BEF-E0A2-43E5-BABC-9B67B9DB5AA1|
|26       |Замена жидкости в системе сцепления                                         |700.00        |2800.00  |15        |0.25000  |true         |0       |A86EB218-2C9A-4096-8176-6AE325BC1C0A|
|27       |Замена левой верхней опоры ДВС                                              |1400.00       |3500.00  |24        |0.40000  |true         |0       |CFDC2235-25BD-406A-BAFD-DDADD8335AE2|
|28       |Замена задней опоры ДВС                                                     |1350.00       |1350.00  |60        |1.00000  |true         |0       |04F8B046-20E2-48A9-A21F-1B46612B4F98|
|29       |Замена ремня ГУР                                                            |600.00        |1200.00  |30        |0.50000  |true         |0       |FF64C7A7-93BF-46A5-ADDF-65386C842A02|
|30       |Замена ремня генератора                                                     |600.00        |1200.00  |30        |0.50000  |true         |0       |75E6AC14-1609-4753-96D5-3E65EFFBFEBF|
|31       |Замена ремня кондиционера                                                   |600.00        |1200.00  |30        |0.50000  |true         |0       |F0C53385-E708-495B-BCBB-BB30A2B6829B|
|32       |Снятие и установка бампера                                                  |1600.00       |1000.00  |96        |1.60000  |false        |0       |04E91C3F-4904-4658-90A1-3BCFEE9D319F|
|33       |Снятие-установка защиты двигателя                                           |350.00        |700.00   |30        |0.50000  |false        |0       |04ECB0A2-95FE-4BAE-BB20-4FB7E173793F|
